epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5159,0.9471,0.91644,1.08021,0.53893,0.70365,0.64489,0.45403,1.07739,1.15817,1.15652,0.000543038,0.000543038,0.000543038
2,20.8913,0.95633,0.92698,1.0823,0.52088,0.73463,0.64796,0.45163,1.07106,1.1599,1.16024,0.00107695,0.00107695,0.00107695
3,28.9974,0.94904,0.9335,1.06633,0.52258,0.75988,0.63374,0.44373,1.09186,1.22828,1.16738,0.00158886,0.00158886,0.00158886
4,35.9713,0.94066,0.94815,1.08279,0.58807,0.64528,0.64065,0.43473,1.10708,1.15133,1.17785,0.00156798,0.00156798,0.00156798
5,43.997,0.95901,0.91377,1.07703,0.51547,0.75392,0.65539,0.44996,1.11333,1.16788,1.17863,0.00153497,0.00153497,0.00153497
6,50.9544,0.94493,0.94479,1.05876,0.52731,0.70993,0.64478,0.45112,1.12133,1.19603,1.184,0.00150197,0.00150197,0.00150197
7,59.0251,0.96966,0.97815,1.08291,0.52116,0.73619,0.62363,0.42361,1.12151,1.20384,1.18105,0.00146896,0.00146896,0.00146896
8,66.4277,0.95265,0.9485,1.0781,0.5623,0.71346,0.64367,0.42833,1.12339,1.13296,1.18116,0.00143595,0.00143595,0.00143595
9,73.7009,0.95837,0.95027,1.08309,0.55894,0.7588,0.65503,0.44396,1.1172,1.15868,1.1821,0.00140295,0.00140295,0.00140295
10,81.7004,1.02286,0.9869,1.11512,0.54336,0.76394,0.64427,0.439,1.1083,1.12757,1.17127,0.00136994,0.00136994,0.00136994
11,88.6305,0.97346,0.94861,1.0857,0.62418,0.63035,0.65866,0.43906,1.12439,1.15554,1.17924,0.00133693,0.00133693,0.00133693
12,97.1501,0.97855,0.97161,1.09071,0.5324,0.77696,0.66056,0.44799,1.12517,1.17466,1.19174,0.00130393,0.00130393,0.00130393
13,104.291,0.95631,0.91237,1.06421,0.52222,0.77696,0.6272,0.4327,1.10661,1.14107,1.17069,0.00127092,0.00127092,0.00127092
14,111.862,0.96113,0.90554,1.0588,0.57365,0.69898,0.64233,0.43923,1.07479,1.13894,1.15368,0.00123791,0.00123791,0.00123791
15,119.936,0.96366,0.92699,1.07328,0.52342,0.7577,0.62249,0.43069,1.09958,1.14369,1.16817,0.00120491,0.00120491,0.00120491
16,126.986,0.97195,0.92256,1.0865,0.59112,0.66638,0.62557,0.4348,1.11473,1.20713,1.17437,0.0011719,0.0011719,0.0011719
17,135.027,0.97124,0.9198,1.08438,0.56764,0.69637,0.66214,0.46389,1.10157,1.159,1.17349,0.00113889,0.00113889,0.00113889
18,142.406,0.9719,0.91617,1.07501,0.59544,0.70053,0.65255,0.44787,1.11962,1.11281,1.17747,0.00110589,0.00110589,0.00110589
19,150.351,0.95503,0.91814,1.06355,0.55134,0.68624,0.66108,0.46782,1.09413,1.13889,1.16349,0.00107288,0.00107288,0.00107288
20,163.187,0.93399,0.9205,1.06312,0.62026,0.60762,0.64437,0.44866,1.07857,1.13218,1.16196,0.00103987,0.00103987,0.00103987
21,171.14,0.9526,0.93897,1.0816,0.51893,0.76716,0.65153,0.44636,1.07785,1.06918,1.16019,0.00100687,0.00100687,0.00100687
22,178.291,0.93482,0.90776,1.06085,0.52398,0.74755,0.65194,0.44593,1.08435,1.09705,1.1617,0.000973861,0.000973861,0.000973861
23,186.421,0.92992,0.89851,1.06031,0.54548,0.78988,0.66153,0.45044,1.08828,1.10735,1.16006,0.000940855,0.000940855,0.000940855
24,193.789,0.93213,0.90899,1.04816,0.50921,0.78832,0.64867,0.4517,1.07915,1.08154,1.16082,0.000907848,0.000907848,0.000907848
25,201.234,0.93992,0.89846,1.06873,0.54425,0.75083,0.65553,0.44976,1.08835,1.10309,1.16714,0.000874842,0.000874842,0.000874842
26,209.278,0.90507,0.87842,1.03567,0.60124,0.62879,0.65708,0.45481,1.08871,1.10527,1.16243,0.000841835,0.000841835,0.000841835
27,216.29,0.94175,0.90847,1.06688,0.52679,0.78578,0.67225,0.46369,1.08053,1.10727,1.16106,0.000808828,0.000808828,0.000808828
28,224.39,0.92609,0.91652,1.06388,0.56809,0.7068,0.65906,0.45134,1.09566,1.12065,1.17317,0.000775822,0.000775822,0.000775822
29,231.535,0.919,0.86294,1.05615,0.53972,0.75735,0.64215,0.43759,1.09644,1.15285,1.17436,0.000742815,0.000742815,0.000742815
30,239.481,0.90264,0.89166,1.05202,0.63469,0.62467,0.65199,0.44458,1.09663,1.15435,1.17418,0.000709809,0.000709809,0.000709809
31,247.37,0.9333,0.87249,1.07484,0.59517,0.67696,0.63739,0.43616,1.08245,1.12972,1.15805,0.000676802,0.000676802,0.000676802
32,254.409,0.91834,0.83622,1.06789,0.5483,0.73259,0.63971,0.4448,1.09216,1.17306,1.1703,0.000643795,0.000643795,0.000643795
33,262.435,0.91146,0.85655,1.05958,0.57106,0.68113,0.65088,0.44811,1.08271,1.12984,1.16302,0.000610789,0.000610789,0.000610789
34,269.532,0.91281,0.84952,1.03804,0.55325,0.75579,0.64884,0.44459,1.08193,1.10674,1.16034,0.000577782,0.000577782,0.000577782
35,277.551,0.91946,0.8359,1.06331,0.56532,0.71834,0.65406,0.44051,1.08604,1.12695,1.15989,0.000544776,0.000544776,0.000544776
36,285.231,0.8699,0.83058,1.0455,0.61055,0.63528,0.64396,0.44002,1.08185,1.12653,1.15865,0.000511769,0.000511769,0.000511769
37,292.815,0.87465,0.81916,1.02737,0.57866,0.6891,0.65579,0.44711,1.07025,1.09307,1.15374,0.000478762,0.000478762,0.000478762
38,300.873,0.87998,0.81287,1.03859,0.53983,0.71067,0.65256,0.44735,1.06761,1.08711,1.15414,0.000445756,0.000445756,0.000445756
39,307.95,0.90683,0.80662,1.04854,0.54741,0.71673,0.66382,0.45675,1.07163,1.08422,1.15603,0.000412749,0.000412749,0.000412749
40,316.017,0.86086,0.78865,1.01598,0.5318,0.76116,0.6602,0.45055,1.09104,1.11278,1.16375,0.000379743,0.000379743,0.000379743
41,325.168,0.83371,0.78042,1.06232,0.70336,0.58489,0.66701,0.45499,1.08747,1.09826,1.16448,0.000346736,0.000346736,0.000346736
42,332.154,0.90441,0.84253,1.09345,0.54221,0.72022,0.65304,0.44563,1.07696,1.10655,1.15751,0.000313729,0.000313729,0.000313729
43,340.029,0.88308,0.8294,1.06213,0.54637,0.72969,0.66487,0.44674,1.07421,1.05871,1.15652,0.000280723,0.000280723,0.000280723
44,346.898,0.93678,0.82543,1.11724,0.55012,0.71346,0.65536,0.44531,1.06839,1.05886,1.15098,0.000247716,0.000247716,0.000247716
45,354.753,0.88487,0.81604,1.08726,0.54882,0.72034,0.66012,0.44427,1.07419,1.0768,1.15532,0.00021471,0.00021471,0.00021471
46,361.941,0.90193,0.82114,1.09947,0.55548,0.74076,0.65931,0.44572,1.0729,1.06104,1.15596,0.000181703,0.000181703,0.000181703
47,369.358,0.89019,0.80314,1.08607,0.56113,0.69229,0.6614,0.44985,1.07338,1.06417,1.15512,0.000148696,0.000148696,0.000148696
48,377.245,0.87729,0.80332,1.09568,0.56533,0.72462,0.6661,0.45671,1.07971,1.06483,1.15577,0.00011569,0.00011569,0.00011569
49,384.077,0.88717,0.80875,1.10016,0.56523,0.72326,0.66813,0.45499,1.08071,1.0648,1.15568,8.26832e-05,8.26832e-05,8.26832e-05
50,392.017,0.88699,0.80171,1.08175,0.56343,0.72326,0.67061,0.45782,1.07776,1.06424,1.15498,4.96766e-05,4.96766e-05,4.96766e-05
